P85,P75,CS82,SS82,S82,ME84,REV84,RMT85,STATE,DISTRICT
33,27,13,24,49,2135,2836,288,1,1
19,15,14,12,41,957,2035,139,1,1
26,20,12,14,41,1530,6030,196,1,1
19,15,12,19,41,1059,4704,159,1,1
56,52,20,27,61,3951,5183,536,1,1
16,15,16,12,41,918,2157,134,1,2
70,62,18,27,61,4367,7072,623,1,2
66,54,15,32,61,4345,5246,517,1,2
12,12,10,12,31,754,951,96,1,2
60,50,14,29,61,3902,6067,467,1,2
32,29,14,20,45,1993,3264,277,1,3
20,14,10,21,41,1312,1899,155,1,3
53,40,24,13,51,2780,5931,386,1,3
28,27,24,8,45,1649,3877,241,1,3
48,43,19,18,51,2983,4968,422,1,3
653,671,34,41,101,45324,59877,6263,1,4
79,78,14,31,61,5331,7027,612,1,4
59,54,23,23,61,3994,6529,532,1,4
27,28,9,22,41,1616,2208,250,1,4
49,55,20,27,61,3240,3976,412,1,4
38,36,21,11,51,2055,4438,339,1,5
6,6,11,12,31,304,960,55,1,5
42,39,12,25,57,2294,7990,290,1,5
29,27,13,23,49,1899,2719,249,1,5
21,19,8,25,45,1217,2389,164,1,5
14,9,12,15,35,679,1462,97,2,6
9,10,3,20,31,490,1751,74,2,6
20,21,5,27,49,1109,2259,144,2,6
153,138,21,36,81,7910,13205,1277,2,6
33,32,10,24,51,1837,3281,240,2,6
21,19,7,23,49,1176,7082,163,2,7
10,10,4,18,35,454,952,63,2,7
65,62,14,33,61,3254,6389,488,2,7
13,14,4,19,31,759,1830,111,2,7
17,18,6,22,45,871,1833,128,2,7
32,33,9,30,51,1788,2914,230,2,7
89,92,15,46,79,5495,6772,720,2,7
25,22,11,22,49,1286,2628,179,2,7
6,6,8,17,41,257,655,37,2,8
4,4,5,11,35,177,637,24,2,8
10,11,9,19,49,470,1387,65,2,8
6,6,5,23,41,255,742,37,2,8
13,13,6,24,45,591,1307,89,2,8
24,25,8,33,55,1313,2165,187,2,9
9,9,10,21,49,415,1136,60,2,9
116,108,21,36,79,6313,10879,939,2,9
118,119,22,45,85,7619,12112,1008,2,9
12,10,11,17,45,555,1370,81,2,9
41,42,10,31,57,2402,3863,310,2,9
8,8,7,16,35,369,831,58,2,9
26,25,10,26,51,1311,2409,169,2,9
7,6,6,11,35,280,767,38,3,10
9,8,9,13,41,387,790,68,3,10
28,27,10,20,49,1327,2546,190,3,10
12,11,7,14,41,536,1254,78,3,10
107,108,19,38,81,6107,9343,807,3,10
31,33,10,27,57,1597,2653,220,3,11
30,30,10,18,49,1713,2834,226,3,11
12,12,9,14,45,493,1134,69,3,11
28,29,9,18,49,1349,2903,179,3,11
18,18,8,17,49,970,1652,129,3,11
18,19,9,19,41,963,1470,119,3,11
11,12,6,18,41,450,1220,73,3,12
9,9,6,24,41,458,790,59,3,12
14,15,11,17,49,659,1626,92,3,12
20,19,9,20,49,956,1983,127,3,12
16,15,10,21,49,762,1768,104,3,12
11,12,8,22,49,506,1169,75,3,12
66,62,15,23,61,3789,6850,505,3,12
27,26,9,18,49,1366,3053,183,3,12
8,8,6,21,41,361,807,49,3,13
8,8,7,15,41,349,765,41,3,13
13,11,12,19,49,520,1457,76,3,13
17,18,8,20,49,784,1733,113,3,13
13,13,8,24,49,538,2042,90,3,13
11,12,5,21,41,522,1060,79,3,14
54,52,16,29,61,3095,5302,408,3,14
21,22,7,24,49,1110,2010,140,3,14
28,28,10,31,59,1499,5717,200,3,14
40,42,12,38,75,2087,3773,284,3,14
16,16,10,19,49,736,1696,103,3,14
11,11,10,12,49,442,1743,58,3,14
56,54,13,30,71,5434,6050,654,3,15
15,18,6,28,49,813,1309,118,4,15
60,60,15,39,75,3285,4954,431,4,15
30,30,8,27,49,1575,2553,192,4,15
32,32,9,27,51,1593,4006,233,4,15
16,16,11,24,49,753,1515,102,4,15
15,15,6,24,41,735,1321,97,4,16
9,9,13,14,45,380,894,56,4,16
12,13,9,15,41,487,1343,69,4,16
12,11,5,28,41,492,1222,73,4,16
14,14,6,17,41,574,1306,86,4,16
7,7,9,16,35,339,779,53,4,17
16,16,13,22,49,852,1508,105,4,17
13,11,9,21,41,598,1026,81,4,17
12,11,16,10,49,481,2027,77,4,17
70,67,17,35,71,3613,6317,472,4,17
20,20,11,19,49,868,2216,129,4,17
31,28,17,16,49,1343,3073,194,4,17
49,48,15,25,61,2212,4055,299,4,17
13,12,7,18,41,528,1277,81,4,18
17,15,14,17,41,894,1670,122,4,18
14,14,10,24,41,729,1276,113,4,18
25,21,24,14,49,1142,3252,186,4,18
14,14,8,25,41,664,1380,91,4,18
21,19,12,25,49,1100,4117,145,4,19
17,15,16,17,45,882,1610,133,4,19
16,13,10,22,45,753,1413,114,4,19
13,11,8,15,41,521,1232,78,4,19
15,14,10,17,49,543,1622,78,4,19
13,12,8,12,41,532,1276,72,4,20
11,10,11,13,41,502,1201,70,4,20
229,247,20,32,61,24694,17949,3471,4,20
81,75,19,23,65,4807,6382,641,4,20
35,38,13,30,51,2112,3096,275,4,20
105,102,20,31,65,6323,9371,815,4,21
22,21,15,17,41,1031,2872,149,4,21
26,26,10,23,49,1495,2540,185,4,21
24,24,13,23,49,1299,2355,172,4,21
34,35,12,30,51,2089,3475,240,4,21
11,11,6,20,49,469,1726,67,5,22
77,74,17,32,71,4245,7533,526,5,22
21,19,10,15,49,917,2784,122,5,22
36,33,10,19,51,1560,4014,229,5,22
46,43,10,19,51,2439,10691,298,5,22
48,37,17,15,51,2115,6087,317,5,22
25,20,11,16,41,1089,2412,179,5,23
29,27,12,16,41,1377,2489,233,5,23
10,9,14,12,41,485,880,66,5,23
17,14,10,16,41,940,3690,129,5,23
12,10,10,10,41,543,1828,87,5,23
13,10,9,15,41,576,2092,82,5,24
9,9,7,19,41,385,1438,63,5,24
11,10,6,17,41,418,1135,65,5,24
12,11,8,12,41,524,1736,72,5,24
424,446,21,35,81,47074,38945,6720,5,24
49,47,14,25,61,2655,4660,381,5,25
31,28,12,19,49,1677,3307,240,5,25
15,15,7,23,41,781,3397,118,5,25
46,47,12,30,61,2610,4623,396,5,25
10,9,5,16,39,463,1190,66,5,25
5,5,6,12,41,253,538,35,5,26
7,7,6,13,35,344,725,43,5,26
23,22,9,26,49,1122,2025,166,5,26
31,28,12,14,41,1470,3065,216,5,26
9,8,10,11,41,393,895,53,5,26
12,12,9,19,45,539,1162,82,5,27
12,12,6,19,45,534,1243,90,5,27
11,10,8,14,41,414,1119,62,5,27
12,11,6,21,41,570,1178,77,5,27
32,30,10,23,51,1537,2955,207,5,27
11,10,10,14,41,474,1224,68,5,28
9,9,9,13,41,382,784,52,5,28
36,34,10,23,51,1918,3376,277,5,28
49,50,11,34,61,2881,4798,396,5,28
31,28,10,18,49,1579,2742,220,5,28
100,106,20,38,79,5742,7710,751,5,28
22,21,12,15,49,1053,2066,146,5,28
13,13,7,20,41,731,1101,95,5,28
6,5,8,9,39,256,658,37,5,29
6,6,11,10,41,280,521,35,5,29
7,5,9,13,35,329,637,39,5,29
9,6,8,12,35,387,813,46,5,29
8,8,6,18,35,401,762,59,5,29
6,7,8,19,41,311,731,44,5,30
17,17,12,12,49,782,1887,105,5,30
13,12,8,17,41,567,1324,87,5,30
11,11,6,18,41,597,1007,66,5,30
10,10,8,16,41,473,971,62,5,30
24,25,10,21,49,1386,2269,175,5,31
35,35,10,20,51,1890,3335,252,5,31
18,17,11,19,49,1058,1592,128,5,31
46,45,12,27,59,2656,4041,330,5,31
9,8,8,14,33,389,818,57,5,31
13,13,5,19,41,623,1192,83,5,31
32,33,11,19,51,1559,2681,208,5,31
11,9,8,17,39,533,977,74,6,32
9,10,6,22,41,411,869,63,6,32
15,16,7,25,49,803,2266,109,6,32
5,5,5,21,35,235,513,37,6,32
13,11,6,18,31,702,1366,105,6,32
5,6,3,27,39,245,433,38,6,33
12,11,6,25,41,646,935,82,6,33
10,11,5,27,45,501,1392,76,6,33
10,10,8,13,41,419,1011,63,6,33
13,14,7,15,41,552,1444,86,6,33
74,73,17,28,61,4270,6635,603,6,34
26,28,9,26,49,1398,2291,209,6,34
14,16,8,25,41,753,1509,100,6,34
17,19,4,32,49,885,1868,121,6,34
27,27,9,23,49,1441,2557,191,6,34
18,20,9,22,49,839,1719,130,6,34
8,9,3,23,41,411,950,63,2,35
17,17,6,25,45,1048,1606,128,2,35
12,12,3,26,41,607,1347,90,2,35
10,11,4,22,39,486,1102,79,2,35
7,7,1,18,35,325,688,50,2,35
118,118,15,32,65,7700,11126,1025,2,36
18,17,5,21,41,938,1645,121,2,36
12,11,7,23,45,552,1408,87,2,36
35,38,10,29,51,2173,3635,309,2,36
10,9,4,20,35,600,1064,75,2,36
25,25,7,25,49,1437,2898,189,2,36
5,5,4,24,39,255,692,36,2,37
11,11,4,28,39,612,913,82,2,37
13,13,4,18,41,564,1334,84,2,37
8,8,6,19,39,390,723,60,2,37
17,19,7,31,49,989,1197,132,2,37
7,7,4,22,35,296,605,46,2,38
118,118,15,35,65,6856,10702,965,2,38
21,20,8,21,49,1150,1988,155,2,38
14,16,6,24,41,769,1460,132,2,38
27,28,6,28,49,1544,2441,219,2,38
14,15,7,22,41,761,1238,112,2,38
8,9,6,24,49,311,844,53,6,39
12,12,6,24,49,543,2098,90,6,39
10,9,6,19,41,452,1113,66,6,39
14,13,8,18,49,700,1841,100,6,39
11,11,9,18,49,461,1416,77,6,39
7,7,7,15,31,356,826,52,6,40
8,9,5,23,49,422,2100,60,6,40
13,13,5,32,49,665,1500,100,6,40
20,18,4,19,49,1039,2223,153,6,40
51,47,14,26,61,2771,5137,418,6,40
46,46,9,36,61,2711,4852,392,6,41
11,10,7,18,41,503,1220,76,6,41
17,17,6,20,41,922,1630,130,6,41
25,27,5,28,49,1239,2461,197,6,41
30,33,6,32,51,1741,2395,262,6,41
7,6,3,23,41,321,694,49,6,42
12,15,4,27,41,672,1008,105,6,42
14,13,3,17,41,661,1447,87,6,42
12,12,3,18,41,579,1150,70,6,42
21,22,5,22,49,1242,2459,147,6,42
88,85,14,44,75,4758,8760,720,6,43
41,43,8,32,51,2182,4146,342,6,43
31,32,5,32,51,1579,3298,233,6,43
28,28,6,25,49,1524,2903,203,6,43
38,37,5,24,51,2073,3882,249,6,43
13,14,3,23,41,659,1989,92,7,44
18,18,3,29,49,945,2616,134,7,44
28,27,8,22,49,1560,2414,231,7,44
94,93,12,46,81,5779,9828,782,7,44
26,28,5,35,61,1455,2067,184,7,44
26,26,6,37,61,1494,6928,182,7,44
60,60,6,33,61,3070,6502,432,7,44
7,8,3,27,45,427,3832,49,7,45
9,10,5,30,49,502,970,63,7,45
14,13,5,23,49,813,2486,94,7,45
17,18,4,29,49,1061,2881,124,7,45
10,9,7,23,49,593,2399,69,7,45
9,9,7,21,45,484,1491,53,7,45
13,13,5,28,49,736,3647,91,7,45
56,53,12,38,75,3430,4677,451,7,45
8,8,3,14,31,428,727,53,8,46
3,4,5,11,31,173,347,21,8,46
7,7,5,14,35,323,903,42,8,46
8,7,3,15,41,408,706,50,8,46
5,6,3,15,31,287,1063,40,8,46
4,4,2,19,31,236,704,32,8,47
8,8,6,20,41,431,2246,58,8,47
4,4,2,14,31,202,623,26,8,47
4,4,2,19,31,199,422,28,8,47
8,8,4,17,35,477,1321,61,8,47
9,9,2,20,35,518,1313,60,8,48
4,5,2,19,31,252,687,35,8,48
84,74,10,30,65,5292,10827,764,8,48
14,15,4,24,45,942,1911,105,8,48
74,72,7,36,65,4777,7624,592,8,48
8,8,3,25,41,462,690,55,8,49
4,4,1,15,31,214,888,28,8,49
7,8,4,21,35,414,9052,46,8,49
5,6,1,20,31,280,359,34,8,49
19,18,4,27,41,1175,1544,123,8,49
6,7,3,18,39,302,430,41,8,50
9,10,4,19,41,528,551,54,8,50
24,26,5,20,41,1582,3703,207,8,50
10,9,2,24,39,480,689,64,8,50
67,64,9,34,61,3948,6583,562,8,50
39,35,5,32,51,2227,4033,295,8,50
29,27,7,28,49,1682,2898,226,8,50
10,9,5,19,41,604,594,63,8,50
27,31,5,27,45,1788,2366,233,8,50
